,week,incidence
0,2009-42,10.2766895893
1,2009-43,10.5020762462
2,2009-44,18.8378972139
3,2009-45,45.0701499996
4,2009-46,71.9980608508
5,2009-47,79.0822185413
6,2009-48,74.9977494321
7,2009-49,58.2206020784
8,2009-50,50.2785894147
9,2009-51,37.8080030741
10,2009-52,14.6772131647
11,2010-01,19.4916481222
12,2010-02,25.1199840785
13,2010-03,22.117416733499997
14,2010-04,21.582535593800003
15,2010-05,22.6222186331
16,2010-06,22.918779646199997
17,2010-07,23.756862052299997
18,2010-08,21.8057368602
19,2010-09,21.824056986799995
20,2010-10,19.5913311615
21,2010-11,15.125879510899999
22,2010-12,11.753470646199998
23,2010-13,4.331267385
24,2010-14,4.2144657322
25,2010-15,0.01
