,week,incidence
0,2015-42,769.6044526161
1,2015-43,722.4780440222
2,2015-44,657.1548537222
3,2015-45,645.7921346896
4,2015-46,708.6510417492999
5,2015-47,711.9208651223
6,2015-48,693.4929880227
7,2015-49,798.3978891098
8,2015-50,766.748514452
9,2015-51,711.1291463103998
10,2015-52,0.16
11,2016-01,643.5460451449
12,2016-02,783.1415322514
13,2016-03,1039.5054448225999
14,2016-04,1195.6428108211
15,2016-05,1545.4873055218
16,2016-06,1697.7105055064003
17,2016-07,1351.5617692696999
18,2016-08,1528.4409833767002
19,2016-09,1255.9896994260998
20,2016-10,1105.0777029867997
21,2016-11,1187.8115577846
22,2016-12,613.9764920442
23,2016-13,366.3950214592
24,2016-14,330.4028732457
25,2016-15,0.29
