,week,incidence
0,2012-42,696.3089079519
1,2012-43,624.2548650826
2,2012-44,512.0468157089
3,2012-45,761.587676125
4,2012-46,845.9066895361
5,2012-47,851.4542410733999
6,2012-48,741.9576962124
7,2012-49,757.1810906203
8,2012-50,739.3149380006
9,2012-51,513.8503606026001
10,2012-52,336.9894333488
11,2013-01,518.0495635899999
12,2013-02,926.5217891838001
13,2013-03,1117.5481983809
14,2013-04,1288.3709677530999
15,2013-05,1469.6238921595998
16,2013-06,1835.8177854276003
17,2013-07,1666.5974894826002
18,2013-08,1586.8276535848
19,2013-09,1648.7111419942
20,2013-10,1339.3688310381
21,2013-11,1270.509716622
22,2013-12,1088.0008982680001
23,2013-13,1049.1011374453
24,2013-14,493.771722551
25,2013-15,505.467722591
