week,cases,incidence
2011-42,388,19.8348797383
2011-43,192,9.815198221
2011-44,321,16.4097845257
2011-45,445,21.0746958258
2011-46,439,20.7905426237
2011-47,407,19.2750588789
2011-48,461,21.8324376982
2011-49,387,18.3278815384
2011-50,462,20.7070609733
2011-51,246,13.4519658189
2011-52,151,8.2571009701
2012-01,133,7.2728107883
2012-02,462,20.7070609733
2012-03,443,19.8554718857
2012-04,466,20.8863428865
2012-05,507,22.7239824967
2012-06,637,28.5506446753
2012-07,608,27.2508508047
2012-08,736,32.9878720268
2012-09,877,39.3075594667
2012-10,782,35.0496140285
2012-11,669,29.9848999809
2012-12,546,24.4719811503
2012-13,397,17.793729884
2012-14,119,6.5072517579
2012-15,9,7.5259645778
